GP ACCOUNT,NS ACCOUNT
3-10-11-902-101,902101
3-10-11-902-102,902102
3-10-11-902-103,*** NO MAPPED
3-10-11-910-100,900200
3-10-11-910-101,910100
3-10-11-911-100,900200
3-10-11-960-100,900900
3-10-11-960-101,960101
3-10-11-999-100,999100
3-10-12-131-100,131105
3-10-12-131-112,131105
3-10-12-421-112,421112
3-10-12-480-100,440100
3-10-12-480-112,440100
3-10-12-813-100,813000
3-10-12-813-112,813000
3-10-12-814-100,814100
3-10-12-816-100,815100
3-10-12-822-100,822000
3-10-12-822-112,822000
3-10-12-823-100,823000
3-10-12-830-100,830000
3-10-12-830-112,830000
3-10-12-832-112,832000
3-10-12-833-112,833000
3-10-12-840-112,840000
3-10-12-842-100,842000
3-10-12-842-112,842000
3-10-12-844-100,844000
3-10-12-845-100,845000
3-10-12-845-112,845000
3-10-12-860-100,860000
3-10-12-870-100,870000
3-10-12-871-112,871100
3-10-12-872-112,872100
3-10-12-873-112,873100
3-10-12-880-112,880100
3-10-13-131-100,131105
3-10-13-131-112,131105
3-10-13-131-114,131105
3-10-13-131-116,131105
3-10-13-425-100,425100
3-10-13-750-100,750100
3-10-13-770-100,770100
3-10-13-815-100,815100
3-10-13-820-101,820101
3-10-13-821-100,821100
3-10-13-821-101,821101
3-10-13-822-100,822000
3-10-13-823-100,823000
3-10-13-823-116,823000
3-10-13-824-100,824000
3-10-13-825-100,825000
3-10-13-830-100,830000
3-10-13-832-100,832000
3-10-13-832-112,832000
3-10-13-832-116,832000
3-10-13-833-100,833000
3-10-13-833-112,833000
3-10-13-833-116,833000
3-10-13-840-100,840000
3-10-13-841-100,841000
3-10-13-842-100,842000
3-10-13-842-112,842000
3-10-13-845-100,845000
3-10-13-846-100,846000
3-10-13-865-100,866000
3-10-13-865-101,867000
3-10-13-866-100,868000
3-10-13-867-100,869000
3-10-13-870-100,870000
3-10-13-870-112,870000
3-10-13-870-114,870000
3-10-13-871-100,871100
3-10-13-871-112,871100
3-10-13-871-114,871100
3-10-13-871-116,871100
3-10-13-872-100,872100
3-10-13-872-112,872100
3-10-13-872-114,872100
3-10-13-872-116,872100
3-10-13-873-100,873100
3-10-13-873-112,873100
3-10-13-873-114,873100
3-10-13-873-116,873100
3-10-13-874-100,874100
3-10-13-874-112,874100
3-10-13-874-114,874100
3-10-14-131-100,131105
3-10-14-131-112,131105
3-10-14-131-114,131105
3-10-14-750-100,750100
3-10-14-750-114,750100
3-10-14-752-100,752100
3-10-14-752-114,752100
3-10-14-755-100,755100
3-10-14-755-114,755100
3-10-14-757-100,757100
3-10-14-814-100,814100
3-10-14-816-100,815100
3-10-14-817-100,817000
3-10-14-822-100,822000
3-10-14-823-100,823000
3-10-14-823-114,823000
3-10-14-830-100,830000
3-10-14-830-114,830000
3-10-14-831-100,831000
3-10-14-831-114,831000
3-10-14-832-100,832000
3-10-14-833-100,833000
3-10-14-833-112,833000
3-10-14-842-100,842000
3-10-14-844-100,844000
3-10-14-845-100,845000
3-10-14-845-114,845000
3-10-14-865-101,867000
3-10-14-870-100,870000
3-10-14-871-100,871100
3-10-14-871-112,871100
3-10-14-871-114,871100
3-10-14-871-116,871100
3-10-14-872-100,872100
3-10-14-872-112,872100
3-10-14-872-114,872100
3-10-14-872-116,872100
3-10-14-873-100,873100
3-10-14-873-112,873100
3-10-14-873-114,873100
3-10-14-873-116,873100
3-10-14-874-100,874100
3-10-14-874-112,874100
3-10-14-874-114,874100
3-10-14-890-100,890000
3-10-15-128-100,128000
3-10-15-131-100,131105
3-10-15-131-112,131105
3-10-15-131-114,131105
3-10-15-171-100,171100
3-10-15-490-100,490100
3-10-15-755-100,755100
3-10-15-755-111,755100
3-10-15-756-100,756100
3-10-15-757-100,757100
3-10-15-770-100,770100
3-10-15-815-100,815100
3-10-15-816-100,815100
3-10-15-821-100,821100
3-10-15-821-101,821101
3-10-15-822-100,822000
3-10-15-823-100,823000
3-10-15-825-100,825000
3-10-15-830-100,830000
3-10-15-831-100,831000
3-10-15-832-112,832000
3-10-15-833-100,833000
3-10-15-833-112,833000
3-10-15-833-116,833000
3-10-15-842-100,842000
3-10-15-844-100,844000
3-10-15-845-100,845000
3-10-15-847-100,846000
3-10-15-860-100,861000
3-10-15-860-111,861000
3-10-15-860-113,861000
3-10-15-860-115,861000
3-10-15-860-117,861000
3-10-15-860-118,861000
3-10-15-860-119,861000
3-10-15-860-120,861000
3-10-15-860-130,861000
3-10-15-860-170,861000
3-10-15-861-100,861000
3-10-15-862-100,863000
3-10-15-863-100,865000
3-10-15-864-100,865000
3-10-15-864-101,865000
3-10-15-864-111,865000
3-10-15-864-113,865000
3-10-15-864-115,865000
3-10-15-864-117,865000
3-10-15-864-118,865000
3-10-15-864-120,865000
3-10-15-864-130,865000
3-10-15-864-170,865000
3-10-15-865-100,866000
3-10-15-866-100,868000
3-10-15-867-100,869000
3-10-15-870-100,870000
3-10-15-870-112,870000
3-10-15-871-100,871100
3-10-15-871-112,871100
